sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000263,7.8,8.5,9,,,,8.75,8,9.25,N1
01000400,7.8,,9.4,7,,,,,,N1
01000399
01000127,6.8,9.25,7.2,,,,8.75,8.25,8.5,N1
01000264
01000809,8.2,7.75,7,,,,7.5,9,7.75,N1
01000944,4,4.25,6.4,,,,,,,N1
01000130,8.4,7,7.2,6.75,2.75,5.5,,,,N1
01000402
01000538
01000808,7.4,7.75,7.8,,,,7.5,8.5,8.5,N1
01000537
01000266,8.6,9,9.4,,,,9.5,8.75,8.75,N1
01000945,7.6,8,8,,,,,,,N1
01000673,7.2,8.75,7.4,,,,8,9.5,9,N1
01000946,,9.25,7.4,,,,7,,,N1
01000473
01000674,7.8,8.75,9.4,,,,7.5,7.75,8.75,N1
01000810,7.2,8.75,8,,,,7.75,8.25,8,N1
01000403
01000267,7.4,9.25,9,,,,9.25,7.75,8.5,N1
01000481
01000131,8.4,9.75,8.8,,,,8.25,6.75,8.25,N1
01000675,8.2,6,8,8.25,3.5,5.75,,,,N1
01000539
01000811,4,7,5.2,,,,6.5,6.5,7.25,N1
01000947
01000268,7.4,8.75,8.4,,,,5,6.25,7.5,N1
01000676,6.8,8.25,6.4,,,,6,7.75,8.25,N1
01000133,8.6,9,8.8,,,,7.25,7.25,8,N1
01000812,4.4,9.5,7,,,,5,7,6.25,N1
01000948
01000132,7.4,9.25,8.2,,,,7.5,7.75,9,N1
01000404
01000677,5.2,8.75,6.8,5,5.5,7,,,,N1
01000269,8.2,8,8.6,,,,8,8.5,8.5,N1
01000405
01000540
01000134,7.2,7.5,8.2,,,,7.5,8.25,9,N1
01000813,8.4,9.25,7,,,,7.5,8.75,7.75,N1
01000542
01000541
01000949,7.6,7.75,7.2,,,,7.5,6.75,,N1
01000814,8.6,9,8.6,,,,7.25,7.25,7.25,N1
01000406,8.2,,9.4,7.25,,,,,,N1
01000270,5.6,9,7.2,,,,8.25,8,9.25,N1
01000678,9,9.25,8.6,8.5,7.75,7.5,,,,N1
01000951
01000271
01000815,6,8.5,7.8,,,,7,6.75,8.5,N1
01000950,7.8,9,8.6,,,,,,,N1
01000543
01000135
01000272,7.8,8.5,7.6,2.5,7.75,7.75,,,,N1
01000680,6.8,9.5,8,,,,7.75,6.5,9,N1
01000407
01000679,6.8,8.25,8.4,,,,7.75,8,8.5,N1
01000545,8,8.25,9.4,6.5,2.5,3.75,,,,N1
01000817
01000408
01000952
01000136,8.2,9,8.8,,,,6.5,8.5,9.5,N1
01000273,7.8,9,8,,,,7.25,7.25,9,N1
01000681,8,8.25,8,,,,7.5,8.5,9.5,N1
01000409
01000544,8.4,9,7.4,,,,9,8.25,8.25,N4
01000816,7.4,7.75,9.8,,,,8.75,8.5,8.75,N1
01000410
01000274,7.6,7.25,8.6,,,,8.5,8,9.25,N1
01000818
01000137,5.2,8,5.2,,,,7.25,8.25,8,N1
01000138,7.6,9.25,9.6,,,,7.5,7.75,8.5,N1
01000953
01000546
01000682,7.4,9,8.4,,,,7.75,7.5,9,N1
01000954
01000275,8.2,9.25,9.2,,,,9,8.75,9.25,N1
01000139,5,8.25,5.8,,,,7.5,6.5,6.5,N1
01000547
01000683,7.4,8.5,4,4.75,3.75,6,,,,N1
01000140,7.8,9.25,9.2,,,,6.75,7.75,8.5,N7
01000141,6.4,9,6.4,,,,7.75,7.75,8.25,N1
01000277,8,9.25,8.4,,,,6.75,7,8.75,N1
01000955
01000548,7,8.75,7,,,,7,7.5,8,N6
01000276,7.2,8,8.2,,,,6.5,8,7.75,N1
01000005,8.6,9,7.8,,,,9,8.75,8.5,N1
01000413
01000411
01000819,8.6,9,9.4,,,,6.75,8.25,6.5,N1
01000686,8.4,8.5,7.2,,,,6.25,7.5,8,N1
01000549,8.6,8.5,9.2,8.5,7,6.25,,,,N1
01000956
01000820,8.2,8.25,5.2,,,,5,5.25,8,N1
01000278,7.4,9,8,,,,,,,N1
01000684,7.4,8,8.6,2.5,8,5.5,,,,N1
01000007
01000822,8.2,8.25,8.8,,,,9.25,9.25,9.25,N1
01000821
01000550,7.2,9,8.6,6.25,5,5.75,,,,N1
01000412
01000414
01000958
01000957,4.8,7.75,4.2,,,,5,7,,N1
01000685,8.4,6.75,9.2,7.25,7,6.75,,,,N1
01000279,8.2,7.5,9,7.75,3.75,4.75,,,,N1
01000143,8.2,8.75,8,,,,9.25,9.5,8.5,N1
01000006,5.8,8.75,7.8,,,,7.75,6.75,7.5,N1
01000687,8,8,8.2,4.5,6.25,6.25,,,,N1
01000415,7.6,8.5,7.6,,,,,,,N1
01000823
01000959
01000551,8.4,8.5,9.6,4.25,3.75,5.25,,,,N1
01000008,8.2,9,9,,,,8,8.25,10,N1
01000144,8.8,9,9.2,5,8.25,6.5,,,,N1
01000280
01000552,8,9.5,8,3.75,5.75,5.75,,,,N1
01000416
01000960
01000688,8.6,8.75,7.8,,,,8,6.75,8.75,N1
01000009,8.2,8,8.6,8.25,4.25,6,,,,N1
01000824
01000142
01000281
01000145,8,8.75,7.2,,,,6.75,7.5,7.5,N1
01000417
01000825,6.4,8.25,8.6,,,,7.75,7,8,N1
01000553,8.2,8.5,8.8,7.5,9.25,6,,,,N1
01000418
01000961,3.8,7,2.6,,,,,,,N1
01000146,7.8,9.5,6.4,,,,6.5,7.75,8.5,N1
01000282
01000554,8.6,7,7.8,8,6,5.75,,,,N1
01000691
01000690,8.6,9.75,9.6,,,,6.25,7.5,9.25,N1
01000555,8.6,8.5,7.8,8,5.75,7,,,,N1
01000689,8.4,8.75,7.4,,,,8.75,7.25,7.5,N1
01000962
01000147,7.4,8.5,7.8,,,,,,,N1
01000010,7.4,9,9.6,,,,8.25,6.5,8.25,N1
01000419
01000011,7.2,8.5,9,7.75,6.75,6.25,,,,N1
01000965,7.2,8.5,6.8,,,,,,,N1
01000283,7.6,8,9.4,5.5,5.5,7,,,,N1
01000827,8.8,8.5,9,,,,9,7.25,8.75,N1
01000826,7.6,8.25,8.6,,,,6.75,7.25,8.25,N1
